Name;New_Measure_31-07-2020;
Description;;
Measure-Intervall;00:00:10;
;;

Time SN:702643 (S30X):P1;SN:702643 (S30X):P1 bar;Time SN:702643 (S30X):P2;SN:702643 (S30X):P2 bar;Time SN:702643 (S30X):TOB1;SN:702643 (S30X):TOB1 °C;Time SN:702643 (S30X):TOB2;SN:702643 (S30X):TOB2 °C;Time SN:702643 (S30X):CH0;SN:702643 (S30X):CH0 bar;
7/31/2020 8:54:04 AM.948;13.9783859;7/31/2020 8:54:04 AM.974;8.9272423;7/31/2020 8:54:05 AM.005;23.6523438;7/31/2020 8:54:05 AM.037;23.6914062;7/31/2020 8:54:05 AM.069;5.0506325;
7/31/2020 8:54:14 AM.949;14.0022354;7/31/2020 8:54:14 AM.984;8.9232826;7/31/2020 8:54:15 AM.016;23.671875;7/31/2020 8:54:15 AM.048;23.671875;7/31/2020 8:54:15 AM.080;5.0615959;
7/31/2020 8:54:24 AM.949;13.9943695;7/31/2020 8:54:24 AM.980;8.9217491;7/31/2020 8:54:25 AM.012;23.671875;7/31/2020 8:54:25 AM.044;23.671875;7/31/2020 8:54:25 AM.076;5.0465279;
7/31/2020 8:54:34 AM.950;13.9802017;7/31/2020 8:54:34 AM.975;8.917263;7/31/2020 8:54:35 AM.007;23.6523438;7/31/2020 8:54:35 AM.039;23.6914062;7/31/2020 8:54:35 AM.071;5.0626411;
7/31/2020 8:54:44 AM.950;13.9862213;7/31/2020 8:54:44 AM.986;8.9145088;7/31/2020 8:54:45 AM.018;23.671875;7/31/2020 8:54:45 AM.050;23.6914062;7/31/2020 8:54:45 AM.082;5.0838203;
7/31/2020 8:54:54 AM.950;13.9852371;7/31/2020 8:54:54 AM.982;8.914856;7/31/2020 8:54:55 AM.014;23.671875;7/31/2020 8:54:55 AM.045;23.6523438;7/31/2020 8:54:55 AM.078;5.0759048;
7/31/2020 8:55:04 AM.951;13.9862442;7/31/2020 8:55:04 AM.978;8.9114227;7/31/2020 8:55:05 AM.009;23.6523438;7/31/2020 8:55:05 AM.041;23.6328125;7/31/2020 8:55:05 AM.073;5.0786133;
7/31/2020 8:55:14 AM.950;13.9636078;7/31/2020 8:55:14 AM.973;8.908905;7/31/2020 8:55:15 AM.005;23.6318359;7/31/2020 8:55:15 AM.037;23.6523438;7/31/2020 8:55:15 AM.069;5.0565262;
7/31/2020 8:55:24 AM.951;13.9598083;7/31/2020 8:55:24 AM.974;8.9061508;7/31/2020 8:55:25 AM.005;23.6523438;7/31/2020 8:55:25 AM.037;23.6328125;7/31/2020 8:55:25 AM.069;5.0500259;
7/31/2020 8:55:34 AM.951;13.9736481;7/31/2020 8:55:34 AM.985;8.9006805;7/31/2020 8:55:35 AM.017;23.671875;7/31/2020 8:55:35 AM.049;23.6523438;7/31/2020 8:55:35 AM.081;5.0637589;
7/31/2020 8:55:44 AM.951;13.9446869;7/31/2020 8:55:44 AM.980;8.8992615;7/31/2020 8:55:45 AM.012;23.6318359;7/31/2020 8:55:45 AM.044;23.6523438;7/31/2020 8:55:45 AM.076;5.0524902;
7/31/2020 8:55:54 AM.952;13.945858;7/31/2020 8:55:54 AM.976;8.8967056;7/31/2020 8:55:55 AM.007;23.5922852;7/31/2020 8:55:55 AM.039;23.6367188;7/31/2020 8:55:55 AM.071;5.0607033;
7/31/2020 8:56:04 AM.952;13.9606628;7/31/2020 8:56:04 AM.986;8.8934555;7/31/2020 8:56:05 AM.019;23.6318359;7/31/2020 8:56:05 AM.050;23.6328125;7/31/2020 8:56:05 AM.083;5.0784607;
